,tweet_id,tweet_text,language,tweet_created_at,retweet,favorite,hashtags,user_id,user_name,user,user_loc,user_follower,friends_count,media,tweet_url
61,1333196895737397248,"#30DayMapChallenge final day.  Translation of 2d water supply map to 3d using #rayrender, #rstats.  2d in thread. https://t.co/fu9gUgNZPF",en,2020-11-29 23:51:24,3,10,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'rayrender', 'indices': [78, 88]}, {'text': 'rstats', 'indices': [90, 97]}]",45536151,David White,Makeo88,,25,103,http://pbs.twimg.com/ext_tw_video_thumb/1333195677103312896/pu/img/mFNACPMryiqUUak3.jpg,https://twitter.com/twitter/statuses/1333196895737397248
62,1333195875099811841,"AA route map from 1950s:
Great geographical detail!
Such tailored planners were part of the AA routes service introduced c1912. 
An automated service now available to all online @TheAA_UK https://t.co/hIyTCOvhZV
Day 30 - A map @tjukanov
#30DayMapChallenge #GeographyTeacher https://t.co/V4G7jjeg3J",en,2020-11-29 23:47:20,3,5,"[{'text': '30DayMapChallenge', 'indices': [237, 255]}, {'text': 'GeographyTeacher', 'indices': [256, 273]}]",2787878432,BC,mildthing99,"England, United Kingdom",2237,2015,http://pbs.twimg.com/media/EoB2lSCWEAMkTYO.jpg,https://twitter.com/twitter/statuses/1333195875099811841
64,1333192342598164481,"Day 30: a map

Urban forest in Christchurch, Aotearoa/New Zealand. Inspired by old CRT terminal.

@qgis + remote sensing data processed by @jamorgenroth.

30th map, mission accomplished. See you next year.

#30DayMapChallenge https://t.co/dGBsJDS7Ei",en,2020-11-29 23:33:18,4,11,"[{'text': '30DayMapChallenge', 'indices': [207, 225]}]",12306,Luis Apiolaza 🧮🍃📷⏚,zentree,"Ōtautahi, Aotearoa",1322,286,http://pbs.twimg.com/media/EoBzJwfUwAANiy6.jpg,https://twitter.com/twitter/statuses/1333192342598164481
65,1333192226571231239,"#30DayMapChallenge
Día 29: Globo. Un simple globo terráqueo girando en el vacío del espacio. https://t.co/6DFEbStPL2 https://t.co/OElDxciQqb",es,2020-11-29 23:32:50,4,5,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",2239825712,IIEG Jalisco,IIEGJ,"Calzada de los Pirules #71, Ciudad Granja, Zapopan, Jalisco",4792,0,http://pbs.twimg.com/media/EoBzI3GXIAYtAZP.jpg,https://twitter.com/twitter/statuses/1333192226571231239
66,1333187422734086145,"For #30DayMapChallenge day 19 (Null) I thought of the doctrine of terra nullias in Australia. It was pretty quick to map the current indigenous population in @Datawrapper. Data from @ABSStats tidied in R.
Interactive: https://t.co/iKXyX0TplC https://t.co/BpA6d1EGcb",en,2020-11-29 23:13:45,1,3,"[{'text': '30DayMapChallenge', 'indices': [4, 22]}]",33788841,suǝbbıɹɟ pıʌɐp,dakvid,"Wellington, New Zealand",387,454,http://pbs.twimg.com/media/EoBuIRiVQAIPFv4.jpg,https://twitter.com/twitter/statuses/1333187422734086145
67,1333183102747815943,"a quick one for #30DayMapChallenge's globe day: I have a globe made in 1965, here are the differences, borderwise, on that one vs one made today. Data collected by looking at mine, so I likely missed a few 😬 https://t.co/pY1JsRW9nc",en,2020-11-29 22:56:35,1,8,"[{'text': '30DayMapChallenge', 'indices': [16, 34]}]",14913762,vicky johnson-dahl,hurricanevicky,"Washington, DC",1008,840,http://pbs.twimg.com/media/EoBqzwpXIAcOSpw.jpg,https://twitter.com/twitter/statuses/1333183102747815943
68,1333177530107392003,"Day 28 of the #30DayMapChallenge was a non-geographic map. I created a ""life map"" of the milestones in my #geospatial journey so far. This was a great way to reflect on my career path and look forward to what is to come in the future! #GIS https://t.co/TO1X4cH6g8",en,2020-11-29 22:34:27,1,2,"[{'text': '30DayMapChallenge', 'indices': [14, 32]}, {'text': 'geospatial', 'indices': [106, 117]}, {'text': 'GIS', 'indices': [235, 239]}]",1311526141983772673,Rachel Finerman,RFinerman,,38,81,http://pbs.twimg.com/media/EoBl48kVkAIGEox.jpg,https://twitter.com/twitter/statuses/1333177530107392003
69,1333173581459537920,"Here's one for #30DayMapChallenge day 16 (islands). I imagined New Zealand as an archipelago of even more islands, by taking StatsNZ's Statistical Area 2 small areas and applying random resizing and rotations in #rstats https://t.co/5uUTcSGQ68",en,2020-11-29 22:18:45,3,1,"[{'text': '30DayMapChallenge', 'indices': [15, 33]}, {'text': 'rstats', 'indices': [212, 219]}]",33788841,suǝbbıɹɟ pıʌɐp,dakvid,"Wellington, New Zealand",387,454,http://pbs.twimg.com/media/EoBiJWYVkAImlVs.jpg,https://twitter.com/twitter/statuses/1333173581459537920
70,1333168471337820160,"#30DayMapChallenge Day 29
🖼Globos del Rey Sol ⌛️1681
🎨Vincenzo Coronelli
🏛@GallicaBnF #Globes

Los Globos del Rey Sol, miden 3.84 metros de diámetro y pesan más de dos toneladas. Se encuentran en el nuevo edificio de la Bibliothéque François-Mitterrand, en París https://t.co/TSXYL373NG",es,2020-11-29 21:58:27,1,2,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'Globes', 'indices': [86, 93]}]",92787154,Esteban Escolano Molin,e2molin,"Madrid, Spain, Europe",463,1061,http://pbs.twimg.com/media/EoBdp97XUAE4Z36.jpg,https://twitter.com/twitter/statuses/1333168471337820160
71,1333168060409077760,"Day 27 of the #30DayMapChallenge called for using big or small #data. This #map shows #EV charge points in Cork City and suburbs in Ireland, clearly small data with only a small number of points. My great grandparents were from Cork County, so I had fun exploring this data. #GIS https://t.co/7IzVVz5rfq",en,2020-11-29 21:56:49,1,0,"[{'text': '30DayMapChallenge', 'indices': [14, 32]}, {'text': 'data', 'indices': [63, 68]}, {'text': 'map', 'indices': [75, 79]}, {'text': 'EV', 'indices': [86, 89]}, {'text': 'GIS', 'indices': [275, 279]}]",1311526141983772673,Rachel Finerman,RFinerman,,38,81,http://pbs.twimg.com/media/EoBdRWVVkAI4Ql2.jpg,https://twitter.com/twitter/statuses/1333168060409077760
72,1333167985373097986,"Top story: @geo_alyaqout: '#30DayMapChallenge
Day29: Globe

Title: Planet Earth 

Software used: @Blender &amp; @illustrator
 
The data were from @NASA blue marble and heightmap 

Not sure why the sphere was not smoothed en… https://t.co/e53au2EpBb, see more https://t.co/vM2VfP1azs",en,2020-11-29 21:56:31,0,2,"[{'text': '30DayMapChallenge', 'indices': [27, 45]}]",166348278,Richard Petry,TheMapAddict,"51.071363,-4.126697",6563,1537,http://pbs.twimg.com/media/EoAUCIgXMAIiY76.jpg,https://twitter.com/twitter/statuses/1333167985373097986
74,1333165164972085248,"Penultimate day on #30DayMapChallenge here’s our summary from Day 29: #Globe

Please check out our full Twitter thread for links and authors and full video for the amazing tribute globe at the top! Sound on 🔊 

#geoshare https://t.co/qvZGlwxD0e",en,2020-11-29 21:45:18,1,9,"[{'text': '30DayMapChallenge', 'indices': [19, 37]}, {'text': 'Globe', 'indices': [70, 76]}, {'text': 'geoshare', 'indices': [211, 220]}]",190644064,British Cartographic Society,bcsweb,UK,3452,272,http://pbs.twimg.com/media/EoBapuqWMAcTtAc.jpg,https://twitter.com/twitter/statuses/1333165164972085248
75,1333164471653691397,"#30DayMapChallenge - Day 29: Globe

Crystal Ball

I had to dredge the depths of my memory banks for today’s map. I used Povray to render a glass sphere refracting a flat map of the world to give the appearance(-ish) of a globe. https://t.co/mu0NP7tOPU",en,2020-11-29 21:42:33,1,3,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",12620762,Mike Coats,MikeCoatsDotCom,"Inverness, Scotland",304,1192,http://pbs.twimg.com/media/EoBaBMfW8AAhL4_.jpg,https://twitter.com/twitter/statuses/1333164471653691397
78,1333162390255505413,"Hijacking #30DayMapChallenge one last time: use this globe to compare the nightlights of two 150 km radius areas with similar population to see the difference in electrification https://t.co/qW7SDSRGX3 Built for #SDGAtlas2020, with @EconAndrew https://t.co/xhWEqQF7Yv",en,2020-11-29 21:34:17,9,32,"[{'text': '30DayMapChallenge', 'indices': [10, 28]}, {'text': 'SDGAtlas2020', 'indices': [212, 225]}]",17242884,Maarten Lambrechts,maartenzam,,17666,1640,http://pbs.twimg.com/media/EoBXlWyW4AIRkhS.jpg,https://twitter.com/twitter/statuses/1333162390255505413
79,1333158609421815815,"Reproducible code to create a world map using orthographic projection in #RStats #30DayMapChallenge Day 29: Globe
👉https://t.co/xdXL4qmjLX https://t.co/sqkwpbV6zo",en,2020-11-29 21:19:16,4,37,"[{'text': 'RStats', 'indices': [73, 80]}, {'text': '30DayMapChallenge', 'indices': [81, 99]}]",423847851,Rafael H.M. Pereira 🚡 Urban Demographics,UrbanDemog,at home,12687,2447,http://pbs.twimg.com/media/EoBUWlcWEAA1I0A.png,https://twitter.com/twitter/statuses/1333158609421815815
80,1333157225846640640,"This map for the #30DayMapChallenge combines day 25 (COVID-19) and day 26 (map with a new tool). These maps show test data throughout the U.S. both since the start of COVID-19 and within the last 30 days, as of November 25th. #GIS #Geospatial https://t.co/Vib0BdHzag",en,2020-11-29 21:13:46,1,1,"[{'text': '30DayMapChallenge', 'indices': [17, 35]}, {'text': 'GIS', 'indices': [226, 230]}, {'text': 'Geospatial', 'indices': [231, 242]}]",1311526141983772673,Rachel Finerman,RFinerman,,38,81,http://pbs.twimg.com/media/EoBTaHGVoAA8CkD.jpg,https://twitter.com/twitter/statuses/1333157225846640640
81,1333154624962965505,"Hello, I'm here.
#30DayMapChallenge Day 29: Globe
#QGIS, Natural Earth Data https://t.co/nJW2nvbNxu",en,2020-11-29 21:03:26,3,42,"[{'text': '30DayMapChallenge', 'indices': [17, 35]}, {'text': 'QGIS', 'indices': [50, 55]}]",14992557,gontsa,gontsa,"Cherkasy, Ukraine",4600,1420,http://pbs.twimg.com/media/EoBQ-t5XYAc6du2.jpg,https://twitter.com/twitter/statuses/1333154624962965505
82,1333154013555015680,"🌐Our Technical Assurance, Modelling and Economics (TAME) team love to produce #maps.

💻This November, they've been showcasing their some of our geospatial #data by taking part in the #30DayMapChallenge.

👉See more: https://t.co/RRwY1teV2R https://t.co/SWvpIAZkq8",en,2020-11-29 21:01:00,2,6,"[{'text': 'maps', 'indices': [78, 83]}, {'text': 'data', 'indices': [155, 160]}, {'text': '30DayMapChallenge', 'indices': [183, 201]}]",756392792310636544,Transport for the North,Transport4North,"England, United Kingdom",9780,2305,http://pbs.twimg.com/media/En11532XYAAznMt.png,https://twitter.com/twitter/statuses/1333154013555015680
83,1333153468383698944,"The globe perspective reveals how blue our planet is. #30DayMapChallenge day 29, “globe”

Source code for rotating globe with https://t.co/OtuHfTCATI included 🤓 https://t.co/2bVGSks3n7",en,2020-11-29 20:58:50,1,1,"[{'text': '30DayMapChallenge', 'indices': [54, 72]}]",1325113858520993793,Fredrik Moeschlin,imfremoe,,5,18,http://pbs.twimg.com/media/EoBQArWXUAIhIuV.jpg,https://twitter.com/twitter/statuses/1333153468383698944
85,1333151611544350720,"#30DayMapChallenge 
Day 29 - Globe

Hidalgo, México: Población nacida en otros países

Data: Censo de población y vivienda, INEGI 2010 https://t.co/sU6BUNbHNF",es,2020-11-29 20:51:27,1,0,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",894755514571046915,The White Rabbit Science,whiterabbit_sci,,34,80,http://pbs.twimg.com/media/EoBOUw8W8Acnpou.jpg,https://twitter.com/twitter/statuses/1333151611544350720
