,user_location,author_id,user_username
0,London,2420267570,AlexKokcharov
1,Boston,1201945107559276544,canigoholm
2, ,3013019847,Amcg_ridesbikes
3, ,974391396923781126,tayalav
4, ,69110057,UnkzF
5, ,1345454262,Jmoll45
6,"Riga, Latvia",87239058,Valtzen
7,"Baraboo, WI",1377365185,dmoore_maps
8,"Belfast, Northern Ireland",1265955927494197249,ceren_do
9,"Sydney, New South Wales",858910137498480645,J_Pihlblad
10,México,1163470661400047616,Taller_Siranda
11,Southside Virginia,725799693842812929,geo_brady
12,Rainbow Unicorn Mountain-SWUK,2224550306,Monk_Po
13, ,759988092,Iawmatthew
14,Colorado,987422088,RustProofLabs
15, ,966993762,lilyhoutman
16,"San Antonio, TX",1241814552,thomas_mock
17,Mexico,27186708,jccpmx
18,Rotterdam 🇳🇱,106900552,ElenoAM
19,Perú,64875424,barredajose
20,The Edge,836168691532300288,a_q_u_i_l_a
21,Northern Ireland,3308382005,GeoConor
22, ,482390704,seppe_santens
23, ,30342730,amyrgoldstein
24,"Exeter, England",4016856743,hughagraham
25, ,3081831303,Properati_Data
26,Ciudad de México,790584781771722753,geogracelis
27, ,4117883234,admanfree
28,Japan,1265379221691486208,j_igarashi
29, ,1200892211996635139,DanaeKontou
30,"Washington, DC",562673751,run_for_funner
31, ,3171679118,DataVizzdom
32,"Starkville, Mississippi",211937351,toddrjones
33,"Berlin, Germany",3092381638,CedScherer
34,"Cherkasy, Ukraine",14992557,gontsa
35,"Dublin City, Ireland",179094335,sarah_wilson7
36,"Estocolmo, Suecia",40578899,brujulado
37,"Berkhamsted, UK",13486,psd
38,///fragole.essi.cestini,959476594099326976,aluollin
39, ,899361004441804802,BRennaise
40,United Kingdom,46426450,JoshCopping
41,"Oricola, Abruzzo",1225029150433579010,ivanziogeo
42, ,1224155339697815552,lansingography
44,Newcastle,318026127,CaRobson
45,linktr.ee/datavizadventure,1313314222693117952,DatavizAdventuR
46,Africa,1235300640496250883,afrimapr
47,"N Côte-d'Or, Bourgogne, France",4121790137,mathieuchartie2
48, ,889127297596493828,chrisewhittaker
49,"Stockholm, Sverige",1274785600466550785,spatialoccasio1
50,"Москва, Россия",86087153,DBusAI
51,"Athens, GA",13215962,jerry_shannon
52,"South West, England",490553409,TheDaaave
53, ,895835407,somethinsfischy
54,CDMX y Cuernavaca,111674998,claudiodanielpc
55,"Oftringen, Schweiz",525654957,aghaynes
56,Ciudad de México,256783357,juanluistv_
57,"Lethbridge, Alberta",223258375,jdeurloo10
58, ,19900688,mapperz
59,Wrocław 💻 World,138823701,Sygyzmundovych
60,El Salvador,1410690928210235396,sig_uca
61,"Front room, Redlands CA",20668314,kennethfield
62,IDF,195802419,Menileda
63,Saint-Petersburg,1354526738299154432,voshavel_shavel
65,"Tallahassee, FL",1180074260385206277,AaronKoelker
66, ,1021342805971603456,citysbackyard
67,"Christchurch, NZ",563607513,CampbellMH
68,"Bend, Oregon",13320952,_chaney
69,"Washington, DC",585486734,Manushi_M
71,"↲, cerca de Slumil K’ajxemk’op",23676785,ishiba
72,"Kaduna, Nigeria.",374459093,zinnie__A
73,Bergen,294330498,HSkaugen
74, ,1081900377853829120,dgplacenames
75,Bristol,230584797,PvtJoeker
76, ,494171107,RGuedonHG
77,"Tel-aviv,Israel",1318434740593111040,RTzkhori
78,"Lower Stondon, England",718494860,Geo_mpm
79, ,1454920710812487680,nordaufnordost
80,"Oakland, CA",1192117144214896640,nicopurr
81,Espoo,539857982,Sami_Tuomaala
82,"Phoenix, AZ",276280627,pnelson917
83,Texas,731327870958600194,HCAP_Messman
84,"Kampala, Uganda",1105027229854126080,AMbabani
85, ,925644480614666240,aslvova
86,"Orsay, France",3068008768,Come_M_S
87,Ciudad de México,1154257288158298112,geoscentricos
88, ,1311757794417283072,mjezgis
89, ,1322964052142936066,GeospatialJ
90,The Netherlands,760094405369946112,hansakwast
91,"Enschede, The Netherlands",1205107570400210944,Muhammad_osm
92,"Salzburg, Austria",233748559,loreabad6
93,"Michigan, USA",931225337916153856,daturadelphina
