,tweet_id,tweet_text,language,tweet_created_at,retweet,favorite,hashtags,user_id,user_name,user,user_loc,user_follower,friends_count,media,tweet_url
70,1331742881263087618,"Percentage of patients (infected) to the total population in the regions of Ukraine
#30DayMapChallenge Day 25: COVID-19
#QGIS, Data by National Security and Defense Council of Ukraine https://t.co/mneHFZZg0U",en,2020-11-25 23:33:40,5,22,"[{'text': '30DayMapChallenge', 'indices': [84, 102]}, {'text': 'QGIS', 'indices': [120, 125]}]",14992557,gontsa,gontsa,"Cherkasy, Ukraine",4586,1419,http://pbs.twimg.com/media/EntNDFcW4AIQfUK.jpg,https://twitter.com/twitter/statuses/1331742881263087618
71,1331742570783891456,"#30DayMapChallenge - Corvid. Range of the Common Raven, Corvus corax. Because at this point I need a break from COVID. https://t.co/RShsypTzVm",en,2020-11-25 23:32:26,1,6,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",721829381207887872,David Fox,ReynardSubtil,"Vermont, USA",72,171,http://pbs.twimg.com/media/EntMYWvXMAIDCHR.jpg,https://twitter.com/twitter/statuses/1331742570783891456
72,1331741438850314240,"Day 25 of the #30DayMapChallenge: Covid-19
An animation of MSOA level case rates during second wave 
Blue blobs identify studenty areas
South East England https://t.co/j6YYYBi0Un",en,2020-11-25 23:27:56,2,1,"[{'text': '30DayMapChallenge', 'indices': [14, 32]}]",102093197,Dan Cookson,danc00ks0n,,4744,4932,http://pbs.twimg.com/ext_tw_video_thumb/1331741407921451009/pu/img/fojDnewqGHwbzDJG.jpg,https://twitter.com/twitter/statuses/1331741438850314240
74,1331740287161556995,"I've fallen way behind on #30DayMapChallenge, so for day 25 I will just repost this animated covid map I made back in April... https://t.co/MsbStGHKmd",en,2020-11-25 23:23:21,3,7,"[{'text': '30DayMapChallenge', 'indices': [26, 44]}]",275677658,Keith Jenkins,kgjenkins,Ithaca,1154,187,http://pbs.twimg.com/tweet_video_thumb/EntKfoRWEAMTUYE.jpg,https://twitter.com/twitter/statuses/1331740287161556995
75,1331739329044078593,"Day 25 - COVID-19 of the #30DayMapChallenge 
Evolution of COVID-19 cases in Africa.
#rstats #rspatial https://t.co/gn9R3F7o7A",en,2020-11-25 23:19:33,5,11,"[{'text': '30DayMapChallenge', 'indices': [25, 43]}, {'text': 'rstats', 'indices': [84, 91]}, {'text': 'rspatial', 'indices': [92, 101]}]",633596180,Ahmadou Dicko,dickoah,Senegal,1670,1419,http://pbs.twimg.com/media/EntJyV8WMAEWVqj.png,https://twitter.com/twitter/statuses/1331739329044078593
76,1331737925684486150,"#30DayMapChallenge Day 25: COVID-19

Lots of masked summer walks meant lots of location data to take advantage of for today. https://t.co/LTvxghEyBN",en,2020-11-25 23:13:58,1,3,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",579246246,Cas,cas_maps,,189,1048,http://pbs.twimg.com/media/EntIaPeWMAIQttE.jpg,https://twitter.com/twitter/statuses/1331737925684486150
77,1331737454819336194,"Day 25 of the #30DayMapChallenge: Covid-19
An animation of MSOA level case rates during second wave 
Blue blobs identify studenty areas https://t.co/0fxKNFX2Zh",en,2020-11-25 23:12:06,1,2,"[{'text': '30DayMapChallenge', 'indices': [14, 32]}]",102093197,Dan Cookson,danc00ks0n,,4744,4932,http://pbs.twimg.com/ext_tw_video_thumb/1331737228226269186/pu/img/O82aQS8oclLrODY-.jpg,https://twitter.com/twitter/statuses/1331737454819336194
78,1331737323600551936,"#30DayMapChallenge Day 24 #Elevation Rendering of the Central Wasatch Range outside Salt Lake City, Utah https://t.co/0mrk7V0YJO",en,2020-11-25 23:11:35,1,6,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'Elevation', 'indices': [26, 36]}]",190615613,Ian Grasshoff,4hoppers,United States,241,426,http://pbs.twimg.com/media/EntIBl3XMAIKmfO.jpg,https://twitter.com/twitter/statuses/1331737323600551936
79,1331735885788876801,"Day 25 (Covid-19) of #30DayMapChallenge 

What's interesting is seeing the resulting difference in spikes in countries with over 1 million cases from September (pic 2) to November (pic 1).

Pic1: @maps_black
Pic 2: Maps Time (Instagram)

#NovemberMapChallenge 
#covid_19 https://t.co/St0jBEKMPb",en,2020-11-25 23:05:52,1,1,"[{'text': '30DayMapChallenge', 'indices': [21, 39]}, {'text': 'NovemberMapChallenge', 'indices': [238, 259]}, {'text': 'covid_19', 'indices': [261, 270]}]",1269335161335959552,the GIS girl,TheGISGirl,,56,117,http://pbs.twimg.com/media/EntGuVSXYAE1zH1.jpg,https://twitter.com/twitter/statuses/1331735885788876801
80,1331734682313035784,"Day 25 of the #30DayMapChallenge: Covid-19
An animation of MSOA level case rates during second wave https://t.co/2iJx85RTv7",en,2020-11-25 23:01:05,1,3,"[{'text': '30DayMapChallenge', 'indices': [14, 32]}]",102093197,Dan Cookson,danc00ks0n,,4744,4932,http://pbs.twimg.com/ext_tw_video_thumb/1331734391735848963/pu/img/Y43ipR3gEWqwPx1A.jpg,https://twitter.com/twitter/statuses/1331734682313035784
