,tweet_id,tweet_text,language,tweet_created_at,retweet_count,favorite_count,hashtags,user_id,user_name,user_screen_name,user_loc,user_follower,friends_count,media
0,1323392191239245825,"Day 2 of #30DayMapChallenge is a real-time map of NYC DoT traffic speeds! 🚗

This map is pulling data from the DoT'… https://t.co/tD10Kf4vvN",en,2020-11-02 22:31:00,0,0,"New York, NY",964654430,Wenfei Xu,iamwfx,"New York, NY",630,472,[]
1,1323391658302558221,"Day 2 of #30DayMapChallenge - Lines

This time it's looking at @NationalTrails across England and Wales!

Unfortuna… https://t.co/wXL9wbDTn9",en,2020-11-02 22:28:53,0,0,"Newcastle Upon Tyne, England",863722747,Tim Rodaway,TimRodaway,"Newcastle Upon Tyne, England",92,279,[]
2,1323390187418902529,"On Day 2 of #30DayMapChallenge, we have lines. Metro (red) and trams (colour coded by route) in #Amsterdam. The wid… https://t.co/q3kVAefDqr",en,2020-11-02 22:23:02,0,0,,702335393522425856,Deboleena,deboleenam5,,36,72,[]
3,1323388395452846086,day 2 of #30DayMapChallenge. major powerlines mapped in @osm_ie @openstreetmap in Ireland https://t.co/DTT0vYQhIm,en,2020-11-02 22:15:55,1,0,"Sligo, Ireland",63686376,Noel,NoelBallantyne,"Sligo, Ireland",432,900,"[{'id': 1323388066367766528, 'id_str': '1323388066367766528', 'indices': [90, 113], 'media_url': 'http://pbs.twimg.com/media/El2eb0vXgAAD-OR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/El2eb0vXgAAD-OR.jpg', 'url': 'https://t.co/DTT0vYQhIm', 'display_url': 'pic.twitter.com/DTT0vYQhIm', 'expanded_url': 'https://twitter.com/NoelBallantyne/status/1323388395452846086/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1448, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 481, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 849, 'h': 1200, 'resize': 'fit'}}}]"
4,1323385864689344512,"One of my favorite things about GIS software is how they render large datasets. Here is QGIS drawing 502,232 lines.… https://t.co/HHXl85PLNu",en,2020-11-02 22:05:52,2,5,,1513661708,Andy Rutkowski,andy_rutkowski,,549,1386,[]
5,1323385625043705858,#30DayMapChallenge Día1 - Puntos https://t.co/OfE2G4Tcc4,es,2020-11-02 22:04:54,1,1,Mexico DF,28714934,Alonso Cortés,aloCrts,Mexico DF,122,408,"[{'id': 1323385318968594434, 'id_str': '1323385318968594434', 'indices': [33, 56], 'media_url': 'http://pbs.twimg.com/media/El2b754XEAIECaH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/El2b754XEAIECaH.jpg', 'url': 'https://t.co/OfE2G4Tcc4', 'display_url': 'pic.twitter.com/OfE2G4Tcc4', 'expanded_url': 'https://twitter.com/aloCrts/status/1323385625043705858/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1448, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 849, 'resize': 'fit'}, 'small': {'w': 680, 'h': 481, 'resize': 'fit'}}}]"
6,1323384822199451648,"#30DayMapChallenge day 2 - lines

Subway lines of 

New York (blue)
London (green)
Paris (red)
Tokyo (yellow)

on t… https://t.co/TWxU5KqZkF",en,2020-11-02 22:01:43,2,1,Cologne/Aachen/Innsbruck,14707170,Unnecessarily sesquipedalian 🚡,MartinBangratz,Cologne/Aachen/Innsbruck,1133,1158,[]
7,1323384526316412930,"#30DayMapChallenge  #Polygon, #Africa Global Terrorism Database 1970-2018; Données Actualisées https://t.co/pAj5FNHvcH",fr,2020-11-02 22:00:33,1,0,,2493409233,SIG & Geomatique,geocarta,,241,154,"[{'id': 1323384306023190530, 'id_str': '1323384306023190530', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/El2bA8XW0AI1mPL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/El2bA8XW0AI1mPL.jpg', 'url': 'https://t.co/pAj5FNHvcH', 'display_url': 'pic.twitter.com/pAj5FNHvcH', 'expanded_url': 'https://twitter.com/geocarta/status/1323384526316412930/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 936, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 531, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1598, 'h': 2048, 'resize': 'fit'}}}]"
8,1323384216491565056,"Day2- Lines  #30DayMapChallenge

A quick map of Electricity cables and Gas pipes in GB.

Data source-Network route… https://t.co/Rl9ZKgXt8g",en,2020-11-02 21:59:19,1,0,"England, United Kingdom",2686735688,Yu(Steven) ZHANG 张宇,steven4320555,"England, United Kingdom",874,713,[]
9,1323384044659224576,Day 03: polygons. 25 minute driving areas (incl. traffic) around my and my fiancée's respective childhood homes to… https://t.co/wCEDlTdCG1,en,2020-11-02 21:58:38,1,1,,801318008912232449,bort,nwbort,,4,252,[]
10,1323383539195412486,"A quick one to keep up

#30DayMapChallenge Day 2 - Lines

Commuter rail and main settlements in Asturias (Data:… https://t.co/8ZAALkogKd",en,2020-11-02 21:56:37,2,0,Asturies,62926974,Tomasral,tomasral,Asturies,76,420,[]
11,1323383456726978562,"#30DayMapChallenge - Day 1
start with a simple map! just a visualization 😁 https://t.co/ezixht4vVz",en,2020-11-02 21:56:18,1,1,"London, England",219609015,sutan mufti,uvfns,"London, England",226,757,"[{'id': 1323383362300661761, 'id_str': '1323383362300661761', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/El2aKAuX0AEebUg.png', 'media_url_https': 'https://pbs.twimg.com/media/El2aKAuX0AEebUg.png', 'url': 'https://t.co/ezixht4vVz', 'display_url': 'pic.twitter.com/ezixht4vVz', 'expanded_url': 'https://twitter.com/uvfns/status/1323383456726978562/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 848, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1448, 'resize': 'fit'}, 'small': {'w': 680, 'h': 481, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]"
12,1323382207109599233,@cartocraftsman Only look at #30DayMapChallenge and you’ll be fixed,en,2020-11-02 21:51:20,2,5,UK,190644064,British Carto Soc.,bcsweb,UK,3269,243,[]
13,1323382042730651648,"#30DayMapChallenge
#2 líneas
en el mapa vemos las rutas que fueron registradas como trochas en la base de datos de… https://t.co/PFXk5opiUM",es,2020-11-02 21:50:40,1,0,Rhein-Neckar-Kreis,421896803,rhabarbrr,viajeruss,Rhein-Neckar-Kreis,309,671,[]
14,1323381930293907456,Day 2 of the #30DayMapChallenge: lines. Basically this is contour lines on a normalised digital surface model. https://t.co/9npzOdq8gs,en,2020-11-02 21:50:14,3,27,Copenhagen,372944125,Asger S. Petersen,Asgerpetersen,Copenhagen,373,321,"[{'id': 1323381235390009345, 'id_str': '1323381235390009345', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/El2YONXW0AEYxvL.png', 'media_url_https': 'https://pbs.twimg.com/media/El2YONXW0AEYxvL.png', 'url': 'https://t.co/9npzOdq8gs', 'display_url': 'pic.twitter.com/9npzOdq8gs', 'expanded_url': 'https://twitter.com/Asgerpetersen/status/1323381930293907456/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1032, 'h': 736, 'resize': 'fit'}, 'small': {'w': 680, 'h': 485, 'resize': 'fit'}, 'large': {'w': 1032, 'h': 736, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]"
15,1323381801658863616,"En souvenir de l'été 🌅 ""🔊Il-waqfa li jmiss : Spinola...""

Les lignes de bus à Malte 🇲🇹

#30DayMapChallenge Jour 2 -… https://t.co/pSqLAPJr1P",fr,2020-11-02 21:49:43,1,1,Rennes,207283971,Pierre,alnpierre,Rennes,152,283,[]
16,1323381627209265152,Day 2 lines #30DayMapChallenge this aviation map shows RNAV routes (mainly flown using GPS). Even though this versi… https://t.co/vu2xb1U7em,en,2020-11-02 21:49:01,1,0,Honduras,602294312,Antonio Locandro,antoniolocandro,Honduras,537,726,[]
17,1323381205581123591,#30DayMapChallenge Día 1: puntos. Hay algunos lugares en Santiago donde es bien fácil tener un accidente de tránsit… https://t.co/DXoAJ4uBA2,es,2020-11-02 21:47:21,4,7,Chile,30381129,Steph Orellana Bello,sporella,Chile,283,190,[]
18,1323379714409582592,"#30DayMapChallenge Day 2 Lines
It's only the 2nd day and I nearly forgot! #Busy 
Here's a map of the Salmon River,… https://t.co/9lJ3JtxDND",en,2020-11-02 21:41:25,1,1,"Yorkshire, England",734297005846081536,Steve Carver,LandEthics,"Yorkshire, England",1887,440,[]
19,1323379177203093505,La última vez que hice un desafío de 30 días dije que nunca más haría otro. ¡Y aquí estoy de nuevo!… https://t.co/YpSmvfswkE,es,2020-11-02 21:39:17,1,2,Chile,30381129,Steph Orellana Bello,sporella,Chile,283,190,[]
