,tweet_id,tweet_text,language,tweet_created_at,retweet_count,favorite_count,hashtags,user_id,user_name,user_screen_name,user_loc,user_follower,friends_count,media
155,1323413807159541760,STATS19 Fatal Accidents 2019 https://t.co/kEfmsjwEGK #30DayMapChallenge Day 1 - Points https://t.co/8QgB5IW8QX,en,2020-11-02 23:56:54,1,1,"[{'text': '30DayMapChallenge', 'indices': [53, 71]}]",1318518242080661504,Christoph Er,dataisawesomeo,,2,76,"[{'id': 1323413316035878914, 'id_str': '1323413316035878914', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/El21ZjFXIAI4_jl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/El21ZjFXIAI4_jl.jpg', 'url': 'https://t.co/8QgB5IW8QX', 'display_url': 'pic.twitter.com/8QgB5IW8QX', 'expanded_url': 'https://twitter.com/dataisawesomeo/status/1323413807159541760/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1448, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 481, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 849, 'h': 1200, 'resize': 'fit'}}}]"
156,1323411971325235206,Junto a mis estudiantes en @DataScienceUDD diseñamos una infografía sobre movilidad en Santiago hace unas semanas.… https://t.co/gbmtp3siP7,es,2020-11-02 23:49:36,10,48,[],18855622,Eduardo G,ZorzalErrante,Neo SCL / Neo BCN,3586,915,[]
157,1323411489529733121,"No. 2 is Lines: On some of the lines in today's (no, yesterday's) map, something terrible happened tonight. My maps… https://t.co/Fkqi21426C",en,2020-11-02 23:47:41,1,7,[],281177027,Isaak,fleischkas,Wien,131,963,[]
158,1323410099147206657,"#30DayMapChallenge Day 2: Lines. 
Another view of the #Montreal metro lines. https://t.co/1xhq2otzYj",en,2020-11-02 23:42:10,1,3,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'Montreal', 'indices': [54, 63]}]",2339659308,Tyler Sloan,quorumetrix,"Montréal, Québec",425,698,"[{'id': 1323409446878343168, 'id_str': '1323409446878343168', 'indices': [77, 100], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1323409446878343168/pu/img/rhIz3z_cZAaKyx29.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1323409446878343168/pu/img/rhIz3z_cZAaKyx29.jpg', 'url': 'https://t.co/1xhq2otzYj', 'display_url': 'pic.twitter.com/1xhq2otzYj', 'expanded_url': 'https://twitter.com/quorumetrix/status/1323410099147206657/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]"
159,1323407926766247936,"@FataMorgana_LS @replyall I’m doing the #30DayMapChallenge this month. Check out the hashtag for cool maps. So far,… https://t.co/5kwa8DouoY",en,2020-11-02 23:33:32,1,1,"[{'text': '30DayMapChallenge', 'indices': [40, 58]}]",65064975,Jessica McCarty,jmccarty_geo,Myaamia land & The World,2681,4019,[]
160,1323407720943247360,Try the #30DayMapChallenge with MapRoulette! Find some OSM issues and fix them at https://t.co/QvWNky8Nlb #maproulette #openstreetmap,en,2020-11-02 23:32:43,2,4,"[{'text': '30DayMapChallenge', 'indices': [8, 26]}, {'text': 'maproulette', 'indices': [106, 118]}, {'text': 'openstreetmap', 'indices': [119, 133]}]",2247621594,MapRoulette,maproulette,,865,220,[]
161,1323407578076831745,"Day 2: Lines
From an interactive story map I did about Montana. Migration flows between Billings &amp; other large US m… https://t.co/eJUwsyvDZ8",en,2020-11-02 23:32:08,1,1,[],918661859489779712,Bobbi Johnson,bobbij_gis,,1,43,[]
162,1323404779142471681,"Day 3 of #30DayMapChallenge / Polygons

Thiessen polygons created from populated places in the world.

Made with… https://t.co/wCmkvpVocP",en,2020-11-02 23:21:01,6,36,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}]",3494716935,Eliška Vlčková,vlckel,Česká republika,121,145,[]
163,1323404099434536960,"Day 2 of #30DayMapChallenge: Joy plot map of my new home in California. Very, very flat. DEM from @JAXA_en https://t.co/ASjptrJ0HW",en,2020-11-02 23:18:19,1,7,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}]",2734608876,Bogumiła Backiel,bobackiel,NYC/CA,154,305,"[{'id': 1323403197847920642, 'id_str': '1323403197847920642', 'indices': [107, 130], 'media_url': 'http://pbs.twimg.com/media/El2sMl5XYAIw26R.jpg', 'media_url_https': 'https://pbs.twimg.com/media/El2sMl5XYAIw26R.jpg', 'url': 'https://t.co/ASjptrJ0HW', 'display_url': 'pic.twitter.com/ASjptrJ0HW', 'expanded_url': 'https://twitter.com/bobackiel/status/1323404099434536960/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 645, 'h': 612, 'resize': 'fit'}, 'medium': {'w': 645, 'h': 612, 'resize': 'fit'}, 'large': {'w': 645, 'h': 612, 'resize': 'fit'}}}]"
164,1323403859918684160,"Day 3 of #30DayMapChallenge : Polygons

Women in Parliaments for Cities of West Java of Indonesia in 2018

Code :… https://t.co/yLjnQJvcVr",en,2020-11-02 23:17:22,2,1,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}]",73577090,Abdul Aziz N 📊 😷,nurussadad,"Bogor, Indonesia",623,412,[]
165,1323403685901279233,Day 2 - How many rivers are there across the Westcountry? The lines on our map will show you #30DayMapChallenge… https://t.co/XGszQtVqkQ,en,2020-11-02 23:16:41,7,31,"[{'text': '30DayMapChallenge', 'indices': [93, 111]}]",454007980,Westcountry Rivers Trust,WestcountryRT,Cornwall.Devon.Dorset.Somerset,4542,3589,[]
166,1323401378916696064,Better late than never for my first ever  #30DayMapChallenge submission. Day 1: points! Yellow dots are places in A… https://t.co/0bc3gCsI1X,en,2020-11-02 23:07:30,1,10,"[{'text': '30DayMapChallenge', 'indices': [42, 60]}]",50888509,🌏🌍🌎,tom5ive,🇮🇩🇳🇱,572,666,[]
167,1323401341817901057,Real time #covid19 tweets map. See what's trending and see the most common words/phrases related to Coronavirus twe… https://t.co/Qi9H7ihlBW,en,2020-11-02 23:07:22,1,1,"[{'text': 'covid19', 'indices': [10, 18]}]",5988182,Mike Perez,highrank,"San Diego, CA",347,254,[]
168,1323399488686362624,Did some illustration yesterday and it seems fitting for the #30DayMapChallenge polygons,en,2020-11-02 23:00:00,1,0,"[{'text': '30DayMapChallenge', 'indices': [61, 79]}]",1710706561,cartocalypse,cartocalypse,"Hamburg, Germany",2734,461,[]
169,1323398149382307840,#30DayMapChallenge Día 2: líneas. En un día laboral en Santiago mucha gente recorre varios kilómetros en trasporte… https://t.co/MmZ1p3Z6uS,es,2020-11-02 22:54:41,9,33,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",30381129,Steph Orellana Bello,sporella,Chile,287,190,[]
170,1323397621394923521,"#30DayMapChallenge 02. Lines

Including lots of walls, dykes, roman roads, canals in my map of British scheduled mo… https://t.co/YEll7pnoGc",en,2020-11-02 22:52:35,1,1,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",102093197,Dan Cookson,danc00ks0n,,4728,4919,[]
171,1323397445825515521,"2. Lines : la Seine tangentielle
#30DayMapChallenge 

Données : Natural Earth
Outils : ObservableHQ (avec D3 et tur… https://t.co/TE1iyV5iHn",fr,2020-11-02 22:51:53,1,2,"[{'text': '30DayMapChallenge', 'indices': [33, 51]}]",6062412,Tristram Gräbener 🚲,tristramg,Paris,1172,364,[]
172,1323396971709845504,Day 2 of the #30DayMapChallenge (lines). I made a map of the Alaskan coastline in Python with a custom @matplotlib… https://t.co/ikglzQzLbc,en,2020-11-02 22:50:00,5,17,"[{'text': '30DayMapChallenge', 'indices': [13, 31]}]",2719547953,Jesse Pisel,geologyjesse,,590,463,[]
173,1323394793687441411,"Jour 2 du #30DayMapChallenge : ""lignes""

je serais curieux d'avoir un avis éclairé d'un codeur pour savoir ce qui m… https://t.co/DkGVNCChsM",fr,2020-11-02 22:41:20,1,3,"[{'text': '30DayMapChallenge', 'indices': [10, 28]}]",1005427867289903104,Axel Desaintmartin,Axel_AFNEG,"Nancy, France",368,707,[]
174,1323393958240788487,"#30DayMapChallenge  #day2 : lines 

Corsica Topography inspiré de Joy Division
(oui j'ai raté le 1er jour ..)

Donn… https://t.co/m0pMXwtc6B",fr,2020-11-02 22:38:01,1,8,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'day2', 'indices': [20, 25]}]",163493843,maelle am,MaelleAMM,Paris,184,368,[]
175,1323393576215171072,Lines #30DayMapChallenge prepping for fieldwork along the railway line from Bedford to St Albans -… https://t.co/bFeRCRaJXB,en,2020-11-02 22:36:30,1,5,"[{'text': '30DayMapChallenge', 'indices': [6, 24]}]",853862934233141248,Captain Alice,MiniMapMakers,"Bedford, England",1488,3783,[]
176,1323392191239245825,"Day 2 of #30DayMapChallenge is a real-time map of NYC DoT traffic speeds! 🚗

This map is pulling data from the DoT'… https://t.co/tD10Kf4vvN",en,2020-11-02 22:31:00,1,1,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}]",964654430,Wenfei Xu,iamwfx,"New York, NY",630,472,[]
177,1323391658302558221,"Day 2 of #30DayMapChallenge - Lines

This time it's looking at @NationalTrails across England and Wales!

Unfortuna… https://t.co/wXL9wbDTn9",en,2020-11-02 22:28:53,1,5,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}]",863722747,Tim Rodaway,TimRodaway,"Newcastle Upon Tyne, England",93,283,[]
178,1323390187418902529,"On Day 2 of #30DayMapChallenge, we have lines. Metro (red) and trams (colour coded by route) in #Amsterdam. The wid… https://t.co/q3kVAefDqr",en,2020-11-02 22:23:02,1,2,"[{'text': '30DayMapChallenge', 'indices': [12, 30]}, {'text': 'Amsterdam', 'indices': [96, 106]}]",702335393522425856,Deboleena,deboleenam5,,36,72,[]
179,1323388395452846086,day 2 of #30DayMapChallenge. major powerlines mapped in @osm_ie @openstreetmap in Ireland https://t.co/DTT0vYQhIm,en,2020-11-02 22:15:55,1,6,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}]",63686376,Noel,NoelBallantyne,"Sligo, Ireland",432,900,"[{'id': 1323388066367766528, 'id_str': '1323388066367766528', 'indices': [90, 113], 'media_url': 'http://pbs.twimg.com/media/El2eb0vXgAAD-OR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/El2eb0vXgAAD-OR.jpg', 'url': 'https://t.co/DTT0vYQhIm', 'display_url': 'pic.twitter.com/DTT0vYQhIm', 'expanded_url': 'https://twitter.com/NoelBallantyne/status/1323388395452846086/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1448, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 481, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 849, 'h': 1200, 'resize': 'fit'}}}]"
180,1323385864689344512,"One of my favorite things about GIS software is how they render large datasets. Here is QGIS drawing 502,232 lines.… https://t.co/HHXl85PLNu",en,2020-11-02 22:05:52,5,13,[],1513661708,Andy Rutkowski,andy_rutkowski,,549,1387,[]
181,1323385625043705858,#30DayMapChallenge Día1 - Puntos https://t.co/OfE2G4Tcc4,es,2020-11-02 22:04:54,1,5,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",28714934,Alonso Cortés,aloCrts,Mexico DF,122,409,"[{'id': 1323385318968594434, 'id_str': '1323385318968594434', 'indices': [33, 56], 'media_url': 'http://pbs.twimg.com/media/El2b754XEAIECaH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/El2b754XEAIECaH.jpg', 'url': 'https://t.co/OfE2G4Tcc4', 'display_url': 'pic.twitter.com/OfE2G4Tcc4', 'expanded_url': 'https://twitter.com/aloCrts/status/1323385625043705858/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1448, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 849, 'resize': 'fit'}, 'small': {'w': 680, 'h': 481, 'resize': 'fit'}}}]"
