,tweet_id,tweet_text,language,tweet_created_at,retweet_count,favorite_count,hashtags,user_id,user_name,user_screen_name,user_loc,user_follower,friends_count,media,tweet_url
175,1323747355427033093,"Just before my wonderful daughter was born, my wife and I spent a few days at Housel Bay in a Cornwall. It's an amazing place. So for Day 2 (Lines) of the #30DayMapChallenge here use how you get the from every MSOA of the UK. https://t.co/h8L1T1r9cC",en,2020-11-03 22:02:18,0,3,"[{'text': '30DayMapChallenge', 'indices': [155, 173]}]",21287004,𝗝ames D Smith,TheRealJimShady,"London, England",576,1065,http://pbs.twimg.com/media/El7lNCJXIAMxD8E.jpg,https://t.co/h8L1T1r9cC
192,1323734749299572737,"Day 2: Lines. Creeks, rivers and canals. There are so many that you can draw the entire country without ever using any other lines and these are just a fraction. #Guyana #LandOfManyWaters #30DayMapChallenge https://t.co/pZSWrFkARk",en,2020-11-03 21:12:12,2,5,"[{'text': 'Guyana', 'indices': [162, 169]}, {'text': 'LandOfManyWaters', 'indices': [170, 187]}, {'text': '30DayMapChallenge', 'indices': [188, 206]}]",906170836989747200,Crystal Conway,Crys_Conway,"Georgetown, Guyana",53,115,http://pbs.twimg.com/media/El7ZvTbXEAM7wKa.jpg,https://t.co/pZSWrFkARk
210,1323725487726874625,"Strategic Road Network, SRN - England  #30DayMapChallenge Day 2 - Lines https://t.co/9Ie3JW3TPV",en,2020-11-03 20:35:24,1,1,"[{'text': '30DayMapChallenge', 'indices': [39, 57]}]",1318518242080661504,Christoph Er,dataisawesomeo,,2,77,http://pbs.twimg.com/media/El7RSqOX0AcLll0.jpg,https://t.co/9Ie3JW3TPV
211,1323724626556571650,"#30DayMapChallenge Day 2: lines

Lines in Pyrenees Orientales, France, using elevation data set https://t.co/mFmgwWNY7v",en,2020-11-03 20:31:59,1,5,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",1168149476550332416,Elevation API,ElevationApi,"Aix-en-Provence, France",235,365,http://pbs.twimg.com/media/El7QUU1WMAYGwEw.png,https://t.co/mFmgwWNY7v
214,1323721341762260993,"Day 2 of the #30DayMapChallenge, submitted a little late since I fell asleep. Anyhow, today topic was lines, so I decided to go with baseball, my favorite sport, as the topic. This radial flow chart shows the reduction in travel during the #COVID19 #MLB Season. https://t.co/J466pYNb76",en,2020-11-03 20:18:56,1,0,"[{'text': '30DayMapChallenge', 'indices': [13, 31]}, {'text': 'COVID19', 'indices': [240, 248]}, {'text': 'MLB', 'indices': [249, 253]}]",1291600484931780608,Tyler White,tqwhitetech,,1,32,http://pbs.twimg.com/media/El7NB4cWoAQQjVL.jpg,https://t.co/J466pYNb76
222,1323714829626957824,#30DayMapChallenge Day 2 Lines#Streams-AB https://t.co/1WUTEPGC3Q,en,2020-11-03 19:53:03,1,0,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",2678363167,Adaeze Agu,adaezehs,"Edmonton, Alberta",5,60,http://pbs.twimg.com/media/El7HnreVoAAIWBu.jpg,https://t.co/1WUTEPGC3Q
230,1323711466759880704,Day 2 of #30DayMapChallenge Lines https://t.co/75iO2JORef,en,2020-11-03 19:39:41,1,2,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}]",1322740260422385665,Anat Zohar,AnatZohar4,,1,6,http://pbs.twimg.com/media/El7Eg20U4AAMwO7.jpg,https://t.co/75iO2JORef
297,1323673172357492737,One day late on day 2 (lines) of the #30DayMapChallenge. The Dolores River Watershed.  I live on the banks of the Dolores and have been fortunate to raft it many times.  Made with #rstats.  Title added with Adobe Illustrator (couldn't figure out how to add the title on the left). https://t.co/niaw7qhJzq,en,2020-11-03 17:07:31,3,8,"[{'text': '30DayMapChallenge', 'indices': [37, 55]}, {'text': 'rstats', 'indices': [180, 187]}]",2184556843,Mike Schmidt,mikejschmidty,"Dolores, Colorado",113,1253,http://pbs.twimg.com/media/El6dSXHVgAAAw-X.jpg,https://t.co/niaw7qhJzq
365,1323632036167536641,"#30DayMapChallenge 

Day 2: Lines

Dreams begin with a simple drawing. #Winter #HRP. https://t.co/3OMI3Ond87",en,2020-11-03 14:24:03,2,3,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'Winter', 'indices': [71, 78]}, {'text': 'HRP', 'indices': [79, 83]}]",1132056770,Riesgos Naturales & Medio Ambiente,arriskeus,International,751,1879,http://pbs.twimg.com/media/El58TckWMAIkaqf.jpg,https://t.co/3OMI3Ond87
383,1323622325678460929,"🗺️ #30daymapchallenge day 2: lines 🗺️
Fungi will be an important ally in the fight against the climate emergency 🍄 After reading @MerlinSheldrake 's fantastic 'Entangled Life' book, I decided to use python to simulate/map hyphae growth in a mycelium network. https://t.co/y7j2PCC0eA",en,2020-11-03 13:45:28,1,1,"[{'text': '30daymapchallenge', 'indices': [3, 21]}]",61612315,Nathanael Sheehan,MrNSheehan,London,8918,575,http://pbs.twimg.com/tweet_video_thumb/El5zBvjWoAE_HIp.jpg,https://t.co/y7j2PCC0eA
426,1323598141988495361,"Day 2 of the #30DayMapChallenge was “lines”, so here are some lines of maps. https://t.co/kOslMrW1tO",en,2020-11-03 12:09:22,1,3,"[{'text': '30DayMapChallenge', 'indices': [13, 31]}]",176337766,Danny Cullinane,timbertopper400,NW England,386,761,http://pbs.twimg.com/media/El5deZEX0AATIF6.jpg,https://t.co/kOslMrW1tO
475,1323563495275847681,"Day 2 - Lines, still catching up in #30DayMapChallenge, Hollow Ways around Tell Beydar in Syria, #rspatial, #archaeology, #rstats https://t.co/VEVSDTLCtH",en,2020-11-03 09:51:42,5,15,"[{'text': '30DayMapChallenge', 'indices': [36, 54]}, {'text': 'rspatial', 'indices': [97, 106]}, {'text': 'archaeology', 'indices': [108, 120]}, {'text': 'rstats', 'indices': [122, 129]}]",1109429181266436097,Michal Michalski ***** ***,topographos2,"Edinburgh, Scotland",293,710,http://pbs.twimg.com/media/El49XqYWkAAqEin.png,https://t.co/VEVSDTLCtH
493,1323548991783514112,"Day 2 #30DayMapChallenge - Lines

Using my parent's geolocation data to map their US roadtrip last year w/ #rstats + tonnes of spatial pcks 

⬇️
https://t.co/MQfEoKXXY3 https://t.co/9cWl9DiufP",en,2020-11-03 08:54:04,3,2,"[{'text': '30DayMapChallenge', 'indices': [6, 24]}, {'text': 'rstats', 'indices': [107, 114]}]",2905624932,Matt Malishev,darwinanddavis,"Atlanta, GA",178,267,http://pbs.twimg.com/media/El4wdQJU0AAIwc3.jpg,https://t.co/MQfEoKXXY3
555,1323515950763683841,"#30DayMapChallenge Day 2 - Lines

Lines of three-point field goals made during the #UAAP #Season81 categorized by their distance from the basket.

FG data extracted from FIBA LiveStats shot charts and maps made in @QGIS. 

#QGIS #BNHR #gischat #MappingTheGeographyOfTheUAAP https://t.co/EA1BV8pqsR",en,2020-11-03 06:42:47,2,10,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'UAAP', 'indices': [83, 88]}, {'text': 'Season81', 'indices': [89, 98]}, {'text': 'QGIS', 'indices': [223, 228]}, {'text': 'BNHR', 'indices': [229, 234]}, {'text': 'gischat', 'indices': [235, 243]}, {'text': 'MappingTheGeographyOfTheUAAP', 'indices': [244, 273]}]",1179527994483720192,BNHR,BNHRdotXYZ,Philippines,269,245,http://pbs.twimg.com/media/El4Sq04U4AAVhsx.jpg,https://t.co/EA1BV8pqsR
560,1323505425807896576,"Day 2 of #30DayMapChallenge - #lines 
Another super basic map of every single place I've been to in #HongKong
Orange = train
Green = boat
Blue = car/bus
Purple = bike
Brown = walk https://t.co/w0hcLnAauy",en,2020-11-03 06:00:57,1,3,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}, {'text': 'lines', 'indices': [30, 36]}, {'text': 'HongKong', 'indices': [100, 109]}]",1208855850959462400,Justin K,sugoiboi40,"Stanford, CA",225,1242,http://pbs.twimg.com/media/El4I5MrUYAIFZAi.jpg,https://t.co/w0hcLnAauy
561,1323504049354874880,#30DayMapChallenge Day 2: Lines. Below is a map of the main river and lake systems in southern Africa https://t.co/A1TDRd9y5h,en,2020-11-03 05:55:29,2,8,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",1216647489576734721,Azile Mdleleni,GeotoZee,,25,76,http://pbs.twimg.com/media/El4H5uYXgAE5UWx.jpg,https://t.co/A1TDRd9y5h
568,1323492215851642881,"#30DayMapChallenge: Day 2 - Lines

Some funky residential roads (with a bit of Halloween holding on! 🎃) pulled from #OSM. Why are they laid out this way? Let the contour line reveal why! https://t.co/Oc6ue4plvy",en,2020-11-03 05:08:28,1,4,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'OSM', 'indices': [116, 120]}]",841465160187428866,Diane Fritz 🗳,fritzGIS,,536,391,http://pbs.twimg.com/tweet_video_thumb/El39H2PU4AAlzBk.jpg,https://t.co/Oc6ue4plvy
572,1323481020222656512,Day 2 : Lines #30DayMapChallenge #QGIS https://t.co/RDC7iVgPPy https://t.co/cp2DuLuiUE,en,2020-11-03 04:23:58,2,4,"[{'text': '30DayMapChallenge', 'indices': [14, 32]}, {'text': 'QGIS', 'indices': [33, 38]}]",269308570,Joseph Kariuki,JkariukiDev,Kenya,269,259,http://pbs.twimg.com/media/El3yw2wW0AADmmu.png,https://t.co/RDC7iVgPPy
575,1323479197189173249,"Day 2 - Lines - Reverting digital to paper, turning my GPS #run tracks of 2020 into a ""hand-drawn"" city map with @John_M_Nelson's paper and ink style #30DayMapChallenge https://t.co/878sMWyC5z",en,2020-11-03 04:16:44,2,9,"[{'text': 'run', 'indices': [59, 63]}, {'text': '30DayMapChallenge', 'indices': [150, 168]}]",197689783,Kylie Donia,kylie_donia,"Redlands, CA",293,293,http://pbs.twimg.com/media/El3xItFVgAAYIoe.jpg,https://t.co/878sMWyC5z
576,1323477769762738176,"Day 2 of #30DayMapChallenge : Lines

I've recently moved to a new house and wanted to make my workspace a happy place.✨ I created posters for all the places I have lived in, taking colors from the schools or organizations' logos I have been associated with. 🌐 https://t.co/PBBwm0kMKT",en,2020-11-03 04:11:03,6,89,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}]",1015132306330308610,Kuhu Gupta,thekuhugupta,"Sunnyvale, CA",123,868,http://pbs.twimg.com/media/El3v1L8VMAEMWbu.jpg,https://t.co/PBBwm0kMKT
