,user_location,author_id,user_username
0,"Jalisco, México",2239825712,IIEGJ
1,"Berlin, Germany",3092381638,CedScherer
2,"Moncton, New Brunswick, Canada",1502070512041791488,Cononolapotato
3,Paris,560431626,antuki13
4,Sheffield,202227790,david_leather
5, ,3289591732,rabin_ojha
7,Planeta Tierra 🌎,790584781771722753,geogracelis
8,"Nanaimo, British Columbia",1120146270167814149,hadallen2
9,"Lexington, KY",1280909342745800710,WChrisLyons
10,"Westminster, CO",1491031412,JPeterPeters
11, ,1587507616430768129,AlbertoHa07
12, ,19900688,mapperz
13,"Brisbane, Queensland 🇦🇺🇯🇵",187171010,IKEDA_02
14,45 landsat pixels on Vashon,381644595,DnomadB
15, ,840682774403133441,HistoCarte
16,Braunschweig | New York,374486396,locrmaps
17,Munich,28102639,pheebely
18,"Western Colorado, USA",704834009252036608,mikedavl
19,France,1494836294735863817,Chireiden_ER
20,"Michigan, USA",1493786300448747520,Anna81020749
21,Colombia,116880000,nico_baene
22, ,1361226912669061121,malasi_abhinav
23,"Salvador, Bahia",1367477875717382146,IcaroBSC
24,Atlanta,182125166,clarenceatlanta
25,"Leuven, Belgium",520200099,SimonDriesen
26, ,895835407,somethinsfischy
27,"Sydney, AU",19001296,minus34
28,"Pima County, Arizona, USA",2884207229,TheGISDiva
29,"Toronto, ON",873014108,rebennett_
30,"Ogden, UT",95275060,Fargreenhills
31,Mashiko,67455306,bordoray
32,"Portland, ME",34334228,iambarr
33,"Ithaca, NY, USA",275677658,kgjenkins
34,Edinburgh,363276700,stevefaeembra
35,France,310401461,bastien_rance
36, ,137107982,atdodkonfektes
37,Tanzania,1255538298,Makdavy1
39,"Christchurch, New Zealand",1020137956869222401,SouthArrowMaps
40,Dijon,1097868640475594752,JeanDup1n
41,"Pisa, Toscana",1015528650639372288,BardiManuele
42,Toronto,2802492936,mappingming
43, ,1108546833821954048,Anastas47310092
44,"Boston, MA",1177927694547406848,coughlinmaps
45,"Scotland, United Kingdom",1414375263253770240,DataScienceNot2
46,"Berlin, Germany",2366590092,ldbailey255
48,"Oxford, England",970015003888758784,ClaireEHalloran
49,"Stavanger, Norway",44981447,torehalset
50,"Brooklyn, NY",15615271,chris_whong
51,"Cleveland, OH",327755131,urblg
52, ,1216771765,geogpsperu
53,"Uppsala, Sweden",1002212251,geokaramanis
54,Cambridge Uk,2341897566,PeterTFretwell
55, ,1584809963553427456,jaanekaraster
56,South Africa,829949071595016192,KartozaGeo
57,"Lucknow, India",743705851303628801,TanuGururani
59,Україна,909289106861064192,vadymnes
60,Ukraine,968892427368050690,Textyorgua_Eng
61,"Denver, CO",1430527437704777731,aliciaoberhol
63,"Portland, OR",3906146132,JGoworowska
64,"Lucerna, Svizzera",336517784,luca_northsouth
65,Perú,64875424,barredajose
66, ,1562969652330119168,tangoclaw
67, ,461965493,kriksine
68,"Palmer, AK",1348777563611561985,TheTomTurkey
69, ,2163188711,tyson_okoth
71, ,1494593861112455168,countryleapp
72,Bangalore,83043346,rajatchopra91
73,"Shrewsbury, England",238730325,DVDMaps
74,"Nairobi, Kenya",1004775170597445634,mbararl
75,"Bengaluru, India",44111340,arkarjun
76,Canada,1329547993,Marco_Piani
77, ,1327776293971103746,MapsbyW
78,"Bucharest, Romania",2987260856,ClaudiaBlagu
79,"Europe, N.America, LATAM, Asia",793464945971257350,Steer_DfM
80,"Riga, Latvia",1096581954844147713,laysking3
82,Enschede,22024763,DieTukkerfries
83,"Taunton, England",4295501181,JamesCarey714
84, ,1585974052975419392,frankypeck
85, ,404240734,SDGeoGirl
86, ,1525819946286161921,magmap_
87,"Norman, Oklahoma",1185244681166295041,geospatial_OU
88, ,2574612668,hireuter
89,"Edinburgh, Scotland",1272146417323294721,MindOverMagma
90, ,21466824,Elmedicobrujo
91,Ukraine,1480299502384861184,margarita_hohun
92,Galloway,1081900377853829120,dgplacenames
93,"Köln, Deutschland",1139059532,_ansgar
94,"San Diego, Ca",1385840413324451840,GISTestingGoat
95,"Bengaluru South, India",1316056821564542979,aman_bagrecha
96,Kingdom of Saudi Arabia,737409461560692736,mapdesignpro
97," Algeria Algiers, كل مرة وين ",1086285558530363393,amdjedlakehal
98,"Detroit, Michigan",70503077,XenonGT
99,United Kingdom,376194515,piabenaud
100, ,1454920710812487680,nordaufnordost
101,Planet Earth,1349110409215795204,PythonMaps
102, ,1161748534397456384,Fringe_Finder
103,🇰🇪,1115217364369461248,CuteEyedBee
104,IDF,195802419,Menileda
106, ,1316116835327148035,hellovizart
107, ,2525776104,JavierCornejoT
108,Ciudad de México,916131169376202752,delmoralsu
109,"Madison, WI",243497005,pinakographos
110, ,1587480134843498496,AvokoRanto
111,"Falmouth, MA",249790792,WoodwellClimate
112, ,1196778015537188865,flocheprl
113,"Chennai, India",1289388543433818112,spatialcamp
115,"Grand Rapids, MI",741653561314922496,pokateo_
116,"Arlington, MA",2391754261,MapOfTheWeek
117,"Raleigh, NC",762107260881502208,calahan_riley
118,Madagascar,1395749392276152320,Xpirix3
119,"Freiburg im Breisgau, Germany",2778216364,27aea577f17d4c4
120,Metaverse,1456964301852344328,metaworldmaps
121,Yogyakarta,121336515,anhsirkwijaya
